sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton.psivdx {degree},rkt.newton.thtvdx {degree},rkt.newton.dvbi {m/s},rkt.newton.IPos[0] {m},rkt.newton.IPos[1] {m},rkt.newton.IPos[2] {m},rkt.newton.IVel[0] {m/s},rkt.newton.IVel[1] {m/s},rkt.newton.IVel[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                21.2,   120.8964526963396,   22.13899021662181,   1638.111492208205,   88.33487748700155,   75.74790692364741,   492.0941609856282,  -3043683.775262928,   5068540.109413756,   2389384.191792956,  -472.9204263963376,  -123.4165178585496,   57.19525061511587,   2.373996266721294, -0.0294816186709918,   1.043682414407359,  0.4605216797330825,   12342.43943423841,   12183.48755500015,    7004.38755500015,    226979.268928522
                21.3,   120.8964895399445,   22.13899121424044,   1653.056436284445,   88.33309607533245,   75.69549078619761,   492.6531504390698,  -3043731.100106601,    5068527.78910122,   2389389.926305627,  -473.5767591711925,  -122.9898351799013,    57.4950454636902,   2.365027971421654,-0.02903839547740564,   1.042129317344597,  0.4630839449404798,   12457.23261866468,   12174.59855500015,   6995.498555000151,   227018.7184119296
                21.4,   120.8965267147632,   22.13899222190268,   1668.078228882514,   88.33132615730058,    75.6429993962375,   493.2149144738064,  -3043778.490677185,   5068515.511426227,   2389395.690810568,   -474.234964627462,  -122.5637673591998,   57.79509594173147,   2.356141165483947,-0.02857597797758145,   1.040570023447057,  0.4656508153509387,   12572.44535983385,   12165.70955500015,   6986.609555000152,   227058.3114035094
                21.5,   120.8965642226404,   22.13899323967075,   1683.176920771599,   88.32956769600627,    75.5904343350913,   493.7794506739255,  -3043825.947161959,   5068503.276327174,    2389401.48533331,  -474.8950429502096,  -122.1383168215561,   58.09540130818689,   2.347331925495463,-0.02840318586462784,   1.039004553538758,  0.4682223040349533,   12688.07450275685,   12156.82055500015,   6977.720555000153,   227098.0471927451
                21.6,    120.896602065422,   22.13899426760688,   1698.352562503889,   88.32782065527886,   75.53779717196336,   494.3467565678832,  -3043873.469748216,   5068491.083742207,   2389407.309899302,  -475.5569942987772,  -121.7134859478451,   58.39596082883207,   2.338603549435958,-0.02823185139555066,      1.037432928587,  0.4707984241570969,   12804.11686487631,   12147.93155500015,   6968.831555000153,   227137.9250651517
                21.7,   120.8966402449552,    22.1389953057733,   1713.605204441585,   88.32608499649757,   75.48508946380328,   494.9168296300937,  -3043921.058623263,   5068478.933609253,   2389413.164533922,   -476.220818807345,  -121.2892770758167,   58.69677377838457,   2.329955798659881,-0.02806187013870445,   1.035855169700029,  0.4733791889769763,   12920.56923617076,   12139.04255500015,   6959.942555000154,   227177.9443023451
                21.8,   120.8966787630883,   22.13899635423233,   1728.934896737337,   88.32436067998928,   75.43231275517498,   495.4896672825917,  -3043968.713974423,   5068466.825865984,   2389419.049262479,  -476.8865165861612,  -120.8656925002689,    58.9978394397693,   2.321388414730548,-0.02789323270997594,   1.034271298128378,  0.4759646118499928,   13037.42837930571,   12130.15355500016,   6951.053555000155,   227218.1041820185
                21.9,    120.896717621671,   22.13899741304627,   1744.341689357534,   88.32264766506506,   75.37946857814248,   496.0652668966441,   -3044016.43598903,   5068454.760449866,    2389424.96411021,  -477.5540877225504,   -120.442734473484,   59.29915710422173,    2.31290112150882,-0.02772592954537225,   1.032681335262241,  0.4785547062283092,   13154.69102973722,   12121.26455500016,   6942.164555000156,   227258.4039780193
                  22,   120.8967568225538,   22.13899848227746,   1759.825632062741,   88.32094591005885,   75.32655845216728,   496.6436257943376,  -3044064.224854419,   5068442.737298125,   2389430.909102276,  -478.2235322819025,  -120.0204052056538,   59.60072607138993,   2.304493626058537,-0.02755995091409333,    1.03108530263232,  0.4811494856616358,    13272.3538958606,   12112.37555500016,   6933.275555000157,   227298.8429603383
                22.1,   120.8967963675886,   22.13899956198825,   1775.386774439365,    88.3192553723638,   75.27358388401908,   497.2247412501446,  -3044112.080757938,   5068430.756347786,   2389436.884263776,  -478.8948503086451,  -119.5987068652956,     59.902545649436,    2.29616561952215, -0.0273952869305564,   1.029483221907685,  0.4837489637981819,    13390.4136591234,   12103.48655500016,   6924.386555000157,   227339.4203951742
