sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {m},rkt.dynamics._SBII[1] {m},rkt.dynamics._SBII[2] {m},rkt.dynamics._VBII[0] {m/s},rkt.dynamics._VBII[1] {m/s},rkt.dynamics._VBII[2] {m/s},rkt.dynamics.thtbdx {degree}
               103.9,   120.9261043163756,   22.13869839237402,   62976.00157483295,   1797.645999594765,   5220151.268574748,  -2902016.424305403,   2403627.610492564,   1650.502364634413,   -304.943035735512,   643.7257406315875,   86.72898578812094
                 104,   120.9262004904226,   22.13869810003039,    63147.6332900105,   1798.183924264279,   5220316.342450839,  -2902046.926733294,   2403691.993046464,   1650.978704371476,  -305.1100644909999,   643.9274739756513,   86.72792412665063
               104.1,    120.926296719936,   22.13869780610744,   63319.31918343809,   1798.722876580014,   5220481.464019044,  -2902077.445852522,   2403756.395795151,   1651.455932109723,  -305.2774977196675,   644.1295990853911,    86.7265445100313
               104.2,   120.9263930038365,   22.13869751059637,   63491.05936131719,   1799.262827561751,   5220646.633358149,  -2902107.981724291,   2403820.818777608,   1651.933997922315,  -305.4454309654382,   644.3321176662242,    86.7250001943851
               104.3,   120.9264893428425,   22.13869721348824,   63662.85392978322,   1799.803788310222,   5220811.850545076,   -2902138.53441304,    2403885.26203279,   1652.412924285067,  -305.6138117087514,   644.5350278800599,   86.72346834924969
               104.4,    120.926585736018,   22.13869691477632,   63834.70299357735,   1800.345774763047,   5220977.115664821,  -2902169.103965852,   2403949.725599336,   1652.892741984199,  -305.7825694648294,   644.7383286377504,   86.72201344837559
               104.5,   120.9266821844062,   22.13869661445769,    64006.6066563623,   1800.888791982876,   5221142.428808332,  -2902199.690416722,   2404014.209515869,   1653.373462075413,   -305.951674205314,   644.9420199097531,   86.72061447221667
               104.6,   120.9267786872363,   22.13869631253247,   64178.56502134074,   1801.432835875716,   5221307.790067485,  -2902230.293796834,   2404078.713821148,   1653.855079233854,   -306.121130208009,   645.1461018279347,   86.71923234788348
               104.7,   120.9268752455443,   22.13869600900227,   64350.57819164917,   1801.977899991649,   5221473.199532477,  -2902260.914140136,   2404143.238554067,   1654.337584028212,  -306.2909508794319,   645.3505741373313,   86.71784664274809
               104.8,   120.9269718584984,   22.13869570386931,    64522.6462703431,   1802.523979602957,   5221638.657291779,  -2902291.551483478,   2404207.783753552,   1654.820970175868,  -306.4611435639251,   645.5554361907061,   86.71645660413787
               104.9,   120.9270685270921,   22.13869539713594,   64694.76936031412,   1803.071072075533,   5221804.163433124,  -2902322.205864701,   2404272.349458488,    1655.30523513787,  -306.6317081034283,   645.7606871483781,   86.71506860515689
                 105,   120.9271652504828,   22.13869508880484,   64866.94756417628,    1803.61917565609,   5221969.718044155,   -2902352.87732125,   2404336.935707684,   1655.790377911554,  -306.8026413143193,   645.9663261288669,   86.71368702430128
               105.1,   120.9272620296711,   22.13869477887898,   65039.18098426703,   1804.168288497541,    5222135.32121258,  -2902383.565889908,   2404401.542539878,   1656.276397279567,  -306.9739406050768,   646.1723522591739,   86.71231239820796
               105.2,   120.9273588638247,   22.13869446736147,   65211.46972267702,   1804.718408417318,   5222300.973026041,  -2902414.271607093,   2404466.169993727,   1656.763291380975,  -307.1456048766871,   646.3787646711085,   86.71094338039499
